ID_Hash,Data,Competencia,Descricao,Valor,Parcela,Origem,Categoria,Status,Obs
59500df3294da8a2,2026-05-05,2026-05,Salário mensal,R$ 8600.00,,BANCO_CONTA,Receita,CONFIRMADO,
57c0e815aae701ae,2026-05-20,2026-05,Freelance projeto,R$ 853.37,,BANCO_CONTA,Receita,CONFIRMADO,
48814ea9f4cf2ccf,2026-05-05,2026-05,CONDOMINIO EDIFICIO,-R$ 980.00,,PICPAY_CARTAO,Moradia,CONFIRMADO,
c15a7c9ee6d77549,2026-05-13,2026-05,ENERGIA ELETRICA,-R$ 245.00,,BANCO_CONTA,Moradia,CONFIRMADO,
dc60ba190993933c,2026-05-04,2026-05,INTERNET FIBRA,-R$ 129.90,,BANCO_CONTA,Moradia,CONFIRMADO,
95239e073af7f92c,2026-05-08,2026-05,SANEAMENTO AGUA,-R$ 118.00,,BANCO_CONTA,Moradia,CONFIRMADO,
4c3f3472275f23f2,2026-05-11,2026-05,ESCOLA JARDIM MENSALIDADE,-R$ 1180.00,,BANCO_CONTA,Educação,CONFIRMADO,
f946a572611ce332,2026-05-03,2026-05,NETFLIX.COM,-R$ 57.80,,BANCO_CONTA,Assinaturas,CONFIRMADO,
1f101553ea567b60,2026-05-09,2026-05,SPOTIFY,-R$ 34.90,,PICPAY_CARTAO,Assinaturas,CONFIRMADO,
032aa0c2a610acc0,2026-05-04,2026-05,GOOGLE ONE,-R$ 9.99,,BANCO_CONTA,Assinaturas,CONFIRMADO,
a6d98e245c11f3c2,2026-05-04,2026-05,OPERADORA CELULAR,-R$ 89.90,,PICPAY_CARTAO,Assinaturas,CONFIRMADO,
04dce835dc122415,2026-05-19,2026-05,PADARIA DA ESQUINA,-R$ 50.13,,PICPAY_CARTAO,Alimentação,CONFIRMADO,
3293d412cf21c1b4,2026-05-19,2026-05,MERCADOLIVRE*COMPRA,-R$ 134.18,,PICPAY_CARTAO,Compras/Vestuário,CONFIRMADO,
4eaf6b5cc2d03b2a,2026-05-28,2026-05,MAGAZINE CASA,-R$ 53.02,,PICPAY_CONTA,Compras/Vestuário,CONFIRMADO,
384c367f0a060e82,2026-05-04,2026-05,MERCADOLIVRE*COMPRA,-R$ 187.84,,PICPAY_CARTAO,Compras/Vestuário,CONFIRMADO,
bbed290b2afdbdc5,2026-05-19,2026-05,AMAZON MARKETPLACE,-R$ 208.79,,PICPAY_CARTAO,Compras/Vestuário,CONFIRMADO,
d1e1918b2676f9e6,2026-05-23,2026-05,LOJA DE ROUPAS,-R$ 31.34,,PICPAY_CONTA,Compras/Vestuário,CONFIRMADO,
129541a010c7de64,2026-05-22,2026-05,LABORATORIO EXAMES,-R$ 175.77,,BANCO_CARTAO,Saúde,CONFIRMADO,
72f54dd43fee9093,2026-05-15,2026-05,MERCADOLIVRE*COMPRA,-R$ 123.37,,PICPAY_CONTA,Compras/Vestuário,CONFIRMADO,
476841c9e348873e,2026-05-25,2026-05,PARQUE AQUATICO,-R$ 87.18,,BANCO_CARTAO,Lazer,CONFIRMADO,
